Front (Question),Back (Answer)
What is the formula for AVL Balance Factor?,"$BF = H_{left} - H_{right}$. A strict mathematical constraint ensuring the tree's height remains absolutely balanced. A node is deemed stable if and only if $BF \in \{-1, 0, 1\}$. Any deviation triggers an immediate structural rotation."
What is the formula for Quadratic Probing Sequence?,"$H(k, i) = (h(k) + c_1 i + c_2 i^2) \pmod m$. Mathematically defines the exact index trajectory during a collision, where $i$ is the attempt number. It systematically bypasses primary clustering by mathematically ensuring the step size increases quadratically."
What is the formula for The Master Theorem?,"$T(n) = aT\left(\frac{n}{b}\right) + f(n)$. Mathematically dictates the exact upper and lower bound runtime of any divide-and-conquer recursion, evaluating the strict tension between the recursive branching cost $a$ and the merge cost $f(n)$."
What is the formula for Edge Relaxation?,"$If\ d[u] + w(u,v) < d[v] \implies d[v] = d[u] + w(u,v)$. The absolute mathematical core of all shortest-path algorithms. It continually tests if a newly discovered route via node $u$ is strictly cheaper than the currently known path to $v$."
What is the formula for Circular Queue Element Count?,"$Count = (rear - front + N) \pmod N$. A strict mathematical operation that calculates the exact physical number of data elements present in the queue, seamlessly wrapping around the array boundary."
What is the formula for 0/1 Knapsack DP State?,"$K[i, w] = \max(K[i-1, w],\ K[i-1, w-w_i] + v_i)$. Mathematically evaluates the absolute optimal value state. It forces a strict choice: either entirely exclude the $i^{th}$ item, or physically include it (adding its value $v_i$ and subtracting its weight $w_i$), capturing the maximum possible optimization."
What is the formula for Turnaround Time?,$TAT = \text{Completion Time} - \text{Arrival Time}$. The absolute total physical time a process spends within the system from inception to termination.
What is the formula for Waiting Time?,$WT = TAT - \text{Burst Time}$. The strict mathematical sum of all physical time periods a process spends trapped in the Ready Queue.
What is the formula for Exponential Smoothing (SJF)?,$\tau_{n+1} = \alpha t_n + (1-\alpha)\tau_n$. The exact mathematical algorithm the OS utilizes to predict the physical length of the next CPU burst based on historical execution data.
What is the formula for Effective Memory Access Time (EMAT)?,"$EMAT = p \times (\text{Page Fault Service Time}) + (1-p) \times (\text{Memory Access Time})$. Mathematically bounds the strict average physical time to access data, driven primarily by the page fault probability rate $p$."
What is the formula for TLB Access Time?,"$EMAT_{TLB} = h \times (c + m) + (1-h) \times (c + 2m)$. Where $h$ is the hit ratio, $c$ is TLB cache lookup time, and $m$ is main memory access time."
